layer,rank,node_id,feature,feature_type,position,token,influence,activation
0,1,0_14725_2,108434900,cross layer transcoder,2,at_pos_2[▁capital],0.7995227575302124,1.046875
0,2,0_9598_6,46075199,cross layer transcoder,6,at_pos_6[▁Dallas],0.7989990711212158,1.8203125
0,3,0_6882_4,23691285,cross layer transcoder,4,at_pos_4[▁state],0.7981584072113037,1.140625
0,4,0_3636_6,6615702,cross layer transcoder,6,at_pos_6[▁Dallas],0.7980530858039856,1.984375
0,5,0_8143_2,33166439,cross layer transcoder,2,at_pos_2[▁capital],0.796890139579773,0.9140625
0,6,0_8694_4,37805859,cross layer transcoder,4,at_pos_4[▁state],0.796038031578064,2.125
0,7,0_8008_2,32076044,cross layer transcoder,2,at_pos_2[▁capital],0.7956100106239319,0.89453125
0,8,0_8203_2,33656909,cross layer transcoder,2,at_pos_2[▁capital],0.793554425239563,0.76171875
0,9,0_12200_6,74438300,cross layer transcoder,6,at_pos_6[▁Dallas],0.7926804423332214,2.171875
0,10,0_9948_6,49496274,cross layer transcoder,6,at_pos_6[▁Dallas],0.7924610376358032,1.7734375
1,1,1_4791_7,11488819,cross layer transcoder,7,at_pos_7[▁is],0.7999405264854431,1.9453125
1,2,1_6032_7,18207593,cross layer transcoder,7,at_pos_7[▁is],0.7998362183570862,2.53125
1,3,1_13729_4,94277044,cross layer transcoder,4,at_pos_4[▁state],0.7977368831634521,2.28125
1,4,1_3123_6,4884373,cross layer transcoder,6,at_pos_6[▁Dallas],0.7976313829421997,1.25
1,5,1_11387_5,64860353,cross layer transcoder,5,at_pos_5[▁containing],0.7975258231163025,1.9140625
1,6,1_8397_5,35275798,cross layer transcoder,5,at_pos_5[▁containing],0.796783983707428,3.765625
1,7,1_9662_5,46701278,cross layer transcoder,5,at_pos_5[▁containing],0.7949636578559875,1.8828125
1,8,1_6587_2,21710753,cross layer transcoder,2,at_pos_2[▁capital],0.79442298412323,2.03125
1,9,1_468_3,110683,cross layer transcoder,3,at_pos_3[▁of],0.7940978407859802,1.421875
1,10,1_3216_3,5179369,cross layer transcoder,3,at_pos_3[▁of],0.7937719225883484,1.4765625
10,1,10_14819_7,109971854,cross layer transcoder,7,at_pos_7[▁is],0.7994181513786316,3.625
10,2,10_15616_5,122109367,cross layer transcoder,5,at_pos_5[▁containing],0.7961448431015015,3.6875
10,3,10_6642_7,22134520,cross layer transcoder,7,at_pos_7[▁is],0.7950716614723206,4.28125
10,4,10_14836_3,110224117,cross layer transcoder,3,at_pos_3[▁of],0.7863311767578125,10.375
10,5,10_13137_7,86441515,cross layer transcoder,7,at_pos_7[▁is],0.7821863889694214,5.78125
10,6,10_3960_7,7886395,cross layer transcoder,7,at_pos_7[▁is],0.7813683748245239,4.71875
10,7,10_16231_6,131909392,cross layer transcoder,6,at_pos_6[▁Dallas],0.7804286479949951,6.75
10,8,10_1279_7,832684,cross layer transcoder,7,at_pos_7[▁is],0.7763554453849792,3.03125
10,9,10_640_7,212215,cross layer transcoder,7,at_pos_7[▁is],0.7695147395133972,2.84375
10,10,10_13946_7,97405892,cross layer transcoder,7,at_pos_7[▁is],0.7669544219970703,3.75
11,1,11_16322_1,133407933,cross layer transcoder,1,at_pos_1[The],0.7870100736618042,31.75
11,2,11_3448_5,5987518,cross layer transcoder,5,at_pos_5[▁containing],0.7835827469825745,10.375
11,3,11_14428_7,104264008,cross layer transcoder,7,at_pos_7[▁is],0.7816023826599121,5.5625
11,4,11_389_1,80589,cross layer transcoder,1,at_pos_1[The],0.7745169997215271,38.25
11,5,11_15109_2,114329869,cross layer transcoder,2,at_pos_2[▁capital],0.7631348967552185,21.875
11,6,0_11_4,-1,mlp reconstruction error,4,,0.7399440407752991,0.0
11,7,11_1278_6,832683,cross layer transcoder,6,at_pos_6[▁Dallas],0.7358424067497253,12.5
11,8,11_15109_3,114329869,cross layer transcoder,3,at_pos_3[▁of],0.7319568991661072,22.125
11,9,11_10566_7,55952319,cross layer transcoder,7,at_pos_7[▁is],0.7045249938964844,6.375
11,10,11_10933_1,59901973,cross layer transcoder,1,at_pos_1[The],0.7023739814758301,50.0
12,1,12_10914_6,59705115,cross layer transcoder,6,at_pos_6[▁Dallas],0.7974200248718262,8.125
12,2,12_13517_5,91537202,cross layer transcoder,5,at_pos_5[▁containing],0.7958241105079651,9.25
12,3,12_8404_6,35427140,cross layer transcoder,6,at_pos_6[▁Dallas],0.7845067977905273,6.75
12,4,12_2082_6,2195547,cross layer transcoder,6,at_pos_6[▁Dallas],0.7200943827629089,6.34375
12,5,12_3684_1,6835740,cross layer transcoder,1,at_pos_1[The],0.6885097622871399,41.75
12,6,12_12910_6,83508413,cross layer transcoder,6,at_pos_6[▁Dallas],0.6851030588150024,8.9375
12,7,0_12_3,-1,mlp reconstruction error,3,,0.6785592436790466,0.0
12,8,0_12_4,-1,mlp reconstruction error,4,,0.6538385152816772,0.0
12,9,0_12_5,-1,mlp reconstruction error,5,,0.6351473331451416,0.0
12,10,12_12493_1,78206258,cross layer transcoder,1,at_pos_1[The],0.6334020495414734,57.75
13,1,13_5620_6,15873781,cross layer transcoder,6,at_pos_6[▁Dallas],0.7923511862754822,11.0625
13,2,13_2290_7,2655346,cross layer transcoder,7,at_pos_7[▁is],0.7790037989616394,5.875
13,3,13_8632_6,37380967,cross layer transcoder,6,at_pos_6[▁Dallas],0.7549436092376709,12.9375
13,4,0_13_3,-1,mlp reconstruction error,3,,0.7470841407775879,0.0
13,5,13_9204_7,42490357,cross layer transcoder,7,at_pos_7[▁is],0.7460395097732544,5.90625
13,6,0_13_4,-1,mlp reconstruction error,4,,0.737432062625885,0.0
13,7,0_13_2,-1,mlp reconstruction error,2,,0.7254564762115479,0.0
13,8,13_1490_7,1131746,cross layer transcoder,7,at_pos_7[▁is],0.7188595533370972,8.3125
13,9,13_11158_7,62412364,cross layer transcoder,7,at_pos_7[▁is],0.7125192284584045,6.3125
13,10,13_3597_6,6521452,cross layer transcoder,6,at_pos_6[▁Dallas],0.6957818269729614,21.375
14,1,14_8659_1,37623460,cross layer transcoder,1,at_pos_1[The],0.7903640866279602,24.875
14,2,14_2510_1,3189060,cross layer transcoder,1,at_pos_1[The],0.7866712212562561,37.0
14,3,14_3709_3,6935935,cross layer transcoder,3,at_pos_3[▁of],0.7742699384689331,27.375
14,4,14_6940_1,24189475,cross layer transcoder,1,at_pos_1[The],0.7655264139175415,65.5
14,5,14_10327_1,53483638,cross layer transcoder,1,at_pos_1[The],0.7504765391349792,50.75
14,6,14_15964_1,127672195,cross layer transcoder,1,at_pos_1[The],0.7324477434158325,57.75
14,7,0_14_4,-1,mlp reconstruction error,4,,0.7266423106193542,0.0
14,8,14_4649_6,10878765,cross layer transcoder,6,at_pos_6[▁Dallas],0.724602997303009,24.875
14,9,14_11422_7,65408188,cross layer transcoder,7,at_pos_7[▁is],0.7134459614753723,7.5625
14,10,0_14_3,-1,mlp reconstruction error,3,,0.7089475393295288,0.0
15,1,15_4494_3,10172289,cross layer transcoder,3,at_pos_3[▁of],0.7938806414604187,31.5
15,2,15_7532_6,28489910,cross layer transcoder,6,at_pos_6[▁Dallas],0.7785261869430542,7.90625
15,3,15_266_4,39887,cross layer transcoder,4,at_pos_4[▁state],0.775990903377533,18.125
15,4,15_8980_6,40468490,cross layer transcoder,6,at_pos_6[▁Dallas],0.7755024433135986,11.0625
15,5,15_805_2,337415,cross layer transcoder,2,at_pos_2[▁capital],0.7619161605834961,18.875
15,6,0_15_2,-1,mlp reconstruction error,2,,0.7556562423706055,0.0
15,7,15_10366_6,53898137,cross layer transcoder,6,at_pos_6[▁Dallas],0.7242608070373535,8.0625
15,8,15_751_1,294512,cross layer transcoder,1,at_pos_1[The],0.7195666432380676,105.0
15,9,15_851_1,376262,cross layer transcoder,1,at_pos_1[The],0.7181497812271118,150.0
15,10,0_15_4,-1,mlp reconstruction error,4,,0.696794867515564,0.0
16,1,16_7171_2,25837249,cross layer transcoder,2,at_pos_2[▁capital],0.8000447154045105,45.0
16,2,16_3460_2,6046486,cross layer transcoder,2,at_pos_2[▁capital],0.785763144493103,37.0
16,3,0_16_2,-1,mlp reconstruction error,2,,0.7706523537635803,0.0
16,4,0_16_3,-1,mlp reconstruction error,3,,0.7380645275115967,0.0
16,5,16_7549_6,28625944,cross layer transcoder,6,at_pos_6[▁Dallas],0.730808675289154,10.4375
16,6,0_16_5,-1,mlp reconstruction error,5,,0.6792232394218445,0.0
16,7,16_14449_7,104639794,cross layer transcoder,7,at_pos_7[▁is],0.6693829298019409,15.625
16,8,16_10202_7,52219073,cross layer transcoder,7,at_pos_7[▁is],0.660654604434967,7.40625
16,9,16_9522_7,45501013,cross layer transcoder,7,at_pos_7[▁is],0.5889637470245361,17.875
16,10,16_5021_7,12693224,cross layer transcoder,7,at_pos_7[▁is],0.5851836800575256,14.625
17,1,17_16267_1,132608737,cross layer transcoder,1,at_pos_1[The],0.781952977180481,49.75
17,2,17_13250_4,88026528,cross layer transcoder,4,at_pos_4[▁state],0.7675978541374207,86.0
17,3,17_451_1,110197,cross layer transcoder,1,at_pos_1[The],0.7648689150810242,66.0
17,4,17_12449_1,77719260,cross layer transcoder,1,at_pos_1[The],0.759169340133667,86.0
17,5,0_17_2,-1,mlp reconstruction error,2,,0.7523625493049622,0.0
17,6,17_8783_1,38733183,cross layer transcoder,1,at_pos_1[The],0.7058825492858887,79.0
17,7,17_13508_6,91483083,cross layer transcoder,6,at_pos_6[▁Dallas],0.6546087861061096,23.25
17,8,17_10412_7,54397647,cross layer transcoder,7,at_pos_7[▁is],0.6483498811721802,7.21875
17,9,17_7767_6,30306987,cross layer transcoder,6,at_pos_6[▁Dallas],0.6478189826011658,50.25
17,10,17_7767_7,30306987,cross layer transcoder,7,at_pos_7[▁is],0.6310497522354126,14.0625
18,1,0_18_5,-1,mlp reconstruction error,5,,0.7880226373672485,0.0
18,2,18_8671_6,37762376,cross layer transcoder,6,at_pos_6[▁Dallas],0.781485378742218,7.46875
18,3,18_11003_7,60747734,cross layer transcoder,7,at_pos_7[▁is],0.6965928077697754,6.25
18,4,18_7559_7,28716812,cross layer transcoder,7,at_pos_7[▁is],0.6939438581466675,7.46875
18,5,18_5424_6,14815827,cross layer transcoder,6,at_pos_6[▁Dallas],0.6581659317016602,24.625
18,6,18_1026_7,546516,cross layer transcoder,7,at_pos_7[▁is],0.6304593086242676,8.875
18,7,18_3852_7,7494237,cross layer transcoder,7,at_pos_7[▁is],0.5988105535507202,7.8125
18,8,0_18_6,-1,mlp reconstruction error,6,,0.5813120603561401,0.0
18,9,18_9416_7,44514311,cross layer transcoder,7,at_pos_7[▁is],0.5725102424621582,7.125
18,10,18_16041_7,128969811,cross layer transcoder,7,at_pos_7[▁is],0.5573053359985352,10.125
19,1,19_13890_7,96750985,cross layer transcoder,7,at_pos_7[▁is],0.7425652146339417,7.96875
19,2,19_11889_6,70918075,cross layer transcoder,6,at_pos_6[▁Dallas],0.7418007850646973,33.0
19,3,19_4857_7,11894983,cross layer transcoder,7,at_pos_7[▁is],0.6745008230209351,12.5625
19,4,0_19_6,-1,mlp reconstruction error,6,,0.6062275171279907,0.0
19,5,19_6741_7,22858921,cross layer transcoder,7,at_pos_7[▁is],0.5342156291007996,8.5625
19,6,19_2439_7,3024550,cross layer transcoder,7,at_pos_7[▁is],0.5152882933616638,13.0
19,7,19_37_7,1633,cross layer transcoder,7,at_pos_7[▁is],0.4949676990509033,7.71875
19,8,19_7477_6,28106233,cross layer transcoder,6,at_pos_6[▁Dallas],0.4443541467189789,58.5
19,9,19_2695_7,3686950,cross layer transcoder,7,at_pos_7[▁is],0.4007450044155121,11.9375
19,10,19_1445_7,1073825,cross layer transcoder,7,at_pos_7[▁is],0.39466384053230286,36.0
2,1,2_437_7,97017,cross layer transcoder,7,at_pos_7[▁is],0.799313485622406,1.9765625
2,2,2_8038_2,32332858,cross layer transcoder,2,at_pos_2[▁capital],0.7986841797828674,1.8515625
2,3,2_4382_7,9616302,cross layer transcoder,7,at_pos_7[▁is],0.7979477643966675,2.09375
2,4,2_5962_3,17793592,cross layer transcoder,3,at_pos_3[▁of],0.7952874302864075,1.921875
2,5,2_3588_6,6449433,cross layer transcoder,6,at_pos_6[▁Dallas],0.7945312857627869,2.546875
2,6,2_4947_5,12253722,cross layer transcoder,5,at_pos_5[▁containing],0.7931183576583862,1.5546875
2,7,2_6869_3,23615625,cross layer transcoder,3,at_pos_3[▁of],0.7913597822189331,1.765625
2,8,2_9805_1,48103333,cross layer transcoder,1,at_pos_1[The],0.7898088693618774,2.78125
2,9,2_8418_6,35460828,cross layer transcoder,6,at_pos_6[▁Dallas],0.788470983505249,2.65625
2,10,2_4121_5,8505747,cross layer transcoder,5,at_pos_5[▁containing],0.7879103422164917,2.578125
20,1,20_221_6,29382,cross layer transcoder,6,at_pos_6[▁Dallas],0.7306441068649292,24.25
20,2,20_11604_6,67576104,cross layer transcoder,6,at_pos_6[▁Dallas],0.6767753958702087,18.0
20,3,20_15276_6,117006732,cross layer transcoder,6,at_pos_6[▁Dallas],0.6705579161643982,25.75
20,4,20_10118_7,51404709,cross layer transcoder,7,at_pos_7[▁is],0.6089941263198853,11.4375
20,5,20_6026_7,18286107,cross layer transcoder,7,at_pos_7[▁is],0.5900770425796509,14.4375
20,6,20_10254_7,52792929,cross layer transcoder,7,at_pos_7[▁is],0.5637794733047485,20.25
20,7,0_20_6,-1,mlp reconstruction error,6,,0.5629278421401978,0.0
20,8,20_3094_7,4853149,cross layer transcoder,7,at_pos_7[▁is],0.5551037192344666,18.375
20,9,20_114_7,9159,cross layer transcoder,7,at_pos_7[▁is],0.5470132827758789,16.75
20,10,20_15276_7,117006732,cross layer transcoder,7,at_pos_7[▁is],0.45020443201065063,15.75
21,1,21_15366_7,118402944,cross layer transcoder,7,at_pos_7[▁is],0.7644726037979126,8.875
21,2,21_3159_6,5060949,cross layer transcoder,6,at_pos_6[▁Dallas],0.7598609328269958,18.0
21,3,21_6795_6,23239131,cross layer transcoder,6,at_pos_6[▁Dallas],0.7391651272773743,11.8125
21,4,21_3288_7,5479683,cross layer transcoder,7,at_pos_7[▁is],0.7371147871017456,6.75
21,5,21_5302_7,14175128,cross layer transcoder,7,at_pos_7[▁is],0.6740412712097168,16.625
21,6,21_11910_7,71192256,cross layer transcoder,7,at_pos_7[▁is],0.6357225775718689,14.875
21,7,21_13426_7,90431054,cross layer transcoder,7,at_pos_7[▁is],0.6133516430854797,9.0625
21,8,0_21_6,-1,mlp reconstruction error,6,,0.5650501847267151,0.0
21,9,21_11099_7,61843859,cross layer transcoder,7,at_pos_7[▁is],0.5603508353233337,24.75
21,10,21_6186_7,19272714,cross layer transcoder,7,at_pos_7[▁is],0.5590505599975586,8.9375
22,1,0_22_6,-1,mlp reconstruction error,6,,0.7130757570266724,0.0
22,2,22_2988_7,4534543,cross layer transcoder,7,at_pos_7[▁is],0.6491454243659973,11.3125
22,3,22_13502_7,91469552,cross layer transcoder,7,at_pos_7[▁is],0.6225848197937012,10.625
22,4,22_12991_7,84688582,cross layer transcoder,7,at_pos_7[▁is],0.5977365374565125,9.4375
22,5,22_11220_7,63208123,cross layer transcoder,7,at_pos_7[▁is],0.5483860969543457,27.375
22,6,22_31_7,1462,cross layer transcoder,7,at_pos_7[▁is],0.5124734044075012,20.75
22,7,22_11718_7,68931388,cross layer transcoder,7,at_pos_7[▁is],0.40765950083732605,29.875
22,8,22_3551_7,6388502,cross layer transcoder,7,at_pos_7[▁is],0.4019354283809662,54.0
22,9,22_4999_7,12612730,cross layer transcoder,7,at_pos_7[▁is],0.3679980933666229,34.5
22,10,22_3064_7,4766305,cross layer transcoder,7,at_pos_7[▁is],0.35717445611953735,70.5
23,1,0_23_6,-1,mlp reconstruction error,6,,0.7996273040771484,0.0
23,2,23_2555_1,3326886,cross layer transcoder,1,at_pos_1[The],0.7921311855316162,100.5
23,3,23_13834_7,96028987,cross layer transcoder,7,at_pos_7[▁is],0.7677261829376221,8.875
23,4,23_7342_7,27132637,cross layer transcoder,7,at_pos_7[▁is],0.7673407196998596,10.1875
23,5,23_1529_7,1206657,cross layer transcoder,7,at_pos_7[▁is],0.7484187483787537,8.0625
23,6,23_10812_7,58714842,cross layer transcoder,7,at_pos_7[▁is],0.690406858921051,8.75
23,7,23_14828_7,110298354,cross layer transcoder,7,at_pos_7[▁is],0.6825138926506042,7.15625
23,8,23_5835_7,17166846,cross layer transcoder,7,at_pos_7[▁is],0.6238178610801697,8.5625
23,9,23_8967_7,40423512,cross layer transcoder,7,at_pos_7[▁is],0.6204097867012024,7.65625
23,10,23_3015_7,4619256,cross layer transcoder,7,at_pos_7[▁is],0.602715790271759,7.6875
24,1,24_13541_7,92024936,cross layer transcoder,7,at_pos_7[▁is],0.7873482704162598,6.0
24,2,24_13894_7,96876215,cross layer transcoder,7,at_pos_7[▁is],0.7632697224617004,6.34375
24,3,24_598_7,194351,cross layer transcoder,7,at_pos_7[▁is],0.7630000114440918,5.65625
24,4,24_4650_7,10930125,cross layer transcoder,7,at_pos_7[▁is],0.7500379681587219,9.3125
24,5,24_8787_7,38830053,cross layer transcoder,7,at_pos_7[▁is],0.7056891322135925,8.4375
24,6,24_5668_7,16207946,cross layer transcoder,7,at_pos_7[▁is],0.6512519121170044,22.125
24,7,24_9794_7,48211265,cross layer transcoder,7,at_pos_7[▁is],0.6494103670120239,16.25
24,8,24_9927_7,49526103,cross layer transcoder,7,at_pos_7[▁is],0.6253491044044495,8.25
24,9,24_15627_7,122500353,cross layer transcoder,7,at_pos_7[▁is],0.5555450320243835,31.625
24,10,24_189_7,22980,cross layer transcoder,7,at_pos_7[▁is],0.5356867909431458,8.3125
25,1,25_11911_7,71251927,cross layer transcoder,7,at_pos_7[▁is],0.7978423833847046,8.125
25,2,25_5472_7,15116725,cross layer transcoder,7,at_pos_7[▁is],0.7894753217697144,7.625
25,3,25_15121_7,114723352,cross layer transcoder,7,at_pos_7[▁is],0.7875732779502869,11.0
25,4,25_10350_7,53835850,cross layer transcoder,7,at_pos_7[▁is],0.7827694416046143,9.1875
25,5,25_4468_7,10100239,cross layer transcoder,7,at_pos_7[▁is],0.7440841197967529,12.5625
25,6,25_14500_7,105509575,cross layer transcoder,7,at_pos_7[▁is],0.7414929270744324,7.34375
25,7,25_14336_7,103140677,cross layer transcoder,7,at_pos_7[▁is],0.7400995492935181,9.0625
25,8,25_3264_7,5413669,cross layer transcoder,7,at_pos_7[▁is],0.7390086650848389,23.125
25,9,25_16326_7,133702102,cross layer transcoder,7,at_pos_7[▁is],0.7251154184341431,10.0
25,10,25_5359_7,14501779,cross layer transcoder,7,at_pos_7[▁is],0.7145493626594543,8.0625
3,1,3_4017_5,8086227,cross layer transcoder,5,at_pos_5[▁containing],0.7997317910194397,2.5625
3,2,3_11050_3,61100981,cross layer transcoder,3,at_pos_3[▁of],0.7992087602615356,2.25
3,3,3_10090_3,50949461,cross layer transcoder,3,at_pos_3[▁of],0.7953950762748718,2.15625
3,4,3_10815_3,58530786,cross layer transcoder,3,at_pos_3[▁of],0.7943147420883179,2.484375
3,5,3_12082_5,73041737,cross layer transcoder,5,at_pos_5[▁containing],0.7914701104164124,1.7109375
3,6,3_2779_7,3873932,cross layer transcoder,7,at_pos_7[▁is],0.7908074259757996,3.375
3,7,3_9580_3,45931316,cross layer transcoder,3,at_pos_3[▁of],0.7888065576553345,2.359375
3,8,3_14117_7,99708377,cross layer transcoder,7,at_pos_7[▁is],0.7828859090805054,2.484375
3,9,3_3978_5,7930149,cross layer transcoder,5,at_pos_5[▁containing],0.7801921367645264,2.03125
3,10,3_355_3,64616,cross layer transcoder,3,at_pos_3[▁of],0.7799551486968994,2.078125
4,1,4_9425_4,44467160,cross layer transcoder,4,at_pos_4[▁state],0.7983689308166504,3.828125
4,2,4_9130_2,41728675,cross layer transcoder,2,at_pos_2[▁capital],0.7955027222633362,4.21875
4,3,4_9023_7,40756901,cross layer transcoder,7,at_pos_7[▁is],0.7947476506233215,2.140625
4,4,4_12990_7,84441505,cross layer transcoder,7,at_pos_7[▁is],0.7933364510536194,2.75
4,5,4_13570_2,92147095,cross layer transcoder,2,at_pos_2[▁capital],0.7896977066993713,3.25
4,6,4_14610_7,106806415,cross layer transcoder,7,at_pos_7[▁is],0.784964919090271,2.734375
4,7,4_704_7,251690,cross layer transcoder,7,at_pos_7[▁is],0.7846215963363647,2.578125
4,8,4_8386_4,35208631,cross layer transcoder,4,at_pos_4[▁state],0.7843915820121765,3.1875
4,9,4_6087_7,18559273,cross layer transcoder,7,at_pos_7[▁is],0.7838142514228821,2.15625
4,10,4_15748_3,124086376,cross layer transcoder,3,at_pos_3[▁of],0.7824196219444275,3.34375
5,1,5_13137_1,86375790,cross layer transcoder,1,at_pos_1[The],0.7991039752960205,10.125
5,2,5_4858_7,11831674,cross layer transcoder,7,at_pos_7[▁is],0.7987891435623169,2.421875
5,3,5_639_4,208329,cross layer transcoder,4,at_pos_4[▁state],0.798579216003418,3.265625
5,4,5_2812_6,3971965,cross layer transcoder,6,at_pos_6[▁Dallas],0.798263669013977,3.5
5,5,5_3134_6,4931364,cross layer transcoder,6,at_pos_6[▁Dallas],0.7966777086257935,3.5625
5,6,5_3134_7,4931364,cross layer transcoder,7,at_pos_7[▁is],0.7948556542396545,3.1875
5,7,5_10508_4,55277349,cross layer transcoder,4,at_pos_4[▁state],0.794639527797699,3.03125
5,8,5_13919_7,96959769,cross layer transcoder,7,at_pos_7[▁is],0.7934454679489136,2.9375
5,9,5_9820_5,48280045,cross layer transcoder,5,at_pos_5[▁containing],0.7930090427398682,3.03125
5,10,5_11292_6,63828045,cross layer transcoder,6,at_pos_6[▁Dallas],0.7918007969856262,2.515625
6,1,6_5053_3,12804323,cross layer transcoder,3,at_pos_3[▁of],0.7984740734100342,4.8125
6,2,6_2102_3,2224988,cross layer transcoder,3,at_pos_3[▁of],0.7973141074180603,4.96875
6,3,6_9865_4,48733121,cross layer transcoder,4,at_pos_4[▁state],0.7972082495689392,12.1875
6,4,6_14677_6,107817263,cross layer transcoder,6,at_pos_6[▁Dallas],0.7964648604393005,3.8125
6,5,6_13619_3,92840744,cross layer transcoder,3,at_pos_3[▁of],0.7963582873344421,4.53125
6,6,6_7229_6,26183459,cross layer transcoder,6,at_pos_6[▁Dallas],0.7959311008453369,3.15625
6,7,6_1273_3,819833,cross layer transcoder,3,at_pos_3[▁of],0.7951796054840088,5.9375
6,8,6_6138_5,18883578,cross layer transcoder,5,at_pos_5[▁containing],0.7928996086120605,3.640625
6,9,6_4758_5,11354988,cross layer transcoder,5,at_pos_5[▁containing],0.7909179925918579,5.90625
6,10,6_4169_7,8721569,cross layer transcoder,7,at_pos_7[▁is],0.7899199724197388,2.421875
7,1,7_1586_7,1271207,cross layer transcoder,7,at_pos_7[▁is],0.7988941669464111,2.359375
7,2,7_9744_6,47555620,cross layer transcoder,6,at_pos_6[▁Dallas],0.7971022129058838,4.125
7,3,7_9165_5,42076543,cross layer transcoder,5,at_pos_5[▁containing],0.7965713143348694,3.921875
7,4,7_8876_5,39467162,cross layer transcoder,5,at_pos_5[▁containing],0.7962515950202942,4.71875
7,5,7_11512_7,66360952,cross layer transcoder,7,at_pos_7[▁is],0.7901421189308167,2.046875
7,6,7_15681_6,123080197,cross layer transcoder,6,at_pos_6[▁Dallas],0.7886947989463806,5.28125
7,7,7_16141_5,130403167,cross layer transcoder,5,at_pos_5[▁containing],0.7871228456497192,4.625
7,8,7_5478_7,15050833,cross layer transcoder,7,at_pos_7[▁is],0.785079300403595,3.15625
7,9,7_5150_5,13305053,cross layer transcoder,5,at_pos_5[▁containing],0.78101646900177,4.40625
7,10,7_9165_7,42076543,cross layer transcoder,7,at_pos_7[▁is],0.7782868146896362,3.46875
8,1,8_7132_7,25500502,cross layer transcoder,7,at_pos_7[▁is],0.7969961762428284,2.546875
8,2,8_16224_5,131763252,cross layer transcoder,5,at_pos_5[▁containing],0.7942063808441162,6.0
8,3,8_14629_5,107142832,cross layer transcoder,5,at_pos_5[▁containing],0.7905858755111694,5.09375
8,4,8_8798_6,38786019,cross layer transcoder,6,at_pos_6[▁Dallas],0.7893640995025635,6.28125
8,5,8_5019_7,12642897,cross layer transcoder,7,at_pos_7[▁is],0.7889182567596436,4.3125
8,6,8_10987_5,60461497,cross layer transcoder,5,at_pos_5[▁containing],0.7883589267730713,5.28125
8,7,8_12194_6,74462697,cross layer transcoder,6,at_pos_6[▁Dallas],0.7877980470657349,6.1875
8,8,8_10408_7,54262144,cross layer transcoder,7,at_pos_7[▁is],0.7855355143547058,2.984375
8,9,8_1081_7,594586,cross layer transcoder,7,at_pos_7[▁is],0.7847360968589783,3.703125
8,10,8_11172_2,62512962,cross layer transcoder,2,at_pos_2[▁capital],0.7750106453895569,7.78125
9,1,9_185_7,19100,cross layer transcoder,7,at_pos_7[▁is],0.7957171201705933,2.921875
9,2,9_10318_5,53338946,cross layer transcoder,5,at_pos_5[▁containing],0.7939893007278442,8.625
9,3,9_774_5,307710,cross layer transcoder,5,at_pos_5[▁containing],0.7925707697868347,3.53125
9,4,9_12600_7,79512345,cross layer transcoder,7,at_pos_7[▁is],0.7915803790092468,2.625
9,5,9_11035_6,61001525,cross layer transcoder,6,at_pos_6[▁Dallas],0.7885829210281372,6.0625
9,6,9_13795_7,95295905,cross layer transcoder,7,at_pos_7[▁is],0.78542160987854,2.953125
9,7,9_2276_6,2614031,cross layer transcoder,6,at_pos_6[▁Dallas],0.7839299440383911,6.0625
9,8,9_13035_4,85092525,cross layer transcoder,4,at_pos_4[▁state],0.7817192673683167,9.875
9,9,9_134_5,10430,cross layer transcoder,5,at_pos_5[▁containing],0.7770825624465942,5.0625
9,10,9_2576_6,3344981,cross layer transcoder,6,at_pos_6[▁Dallas],0.7738990187644958,3.3125
E,1,E_576_3,3,embedding,3,▁of,0.2599923014640808,0.0
E,2,E_603_7,7,embedding,7,▁is,0.24316906929016113,0.0
E,3,E_2329_4,4,embedding,4,▁state,0.22153310477733612,0.0
E,4,E_10751_5,5,embedding,5,▁containing,0.19760549068450928,0.0
E,5,E_26865_6,6,embedding,6,▁Dallas,0.16844864189624786,0.0
E,6,E_651_1,1,embedding,1,The,0.13879255950450897,0.0
E,7,E_2_0,0,embedding,0,<bos>,0.10083092004060745,0.0
E,8,E_6037_2,2,embedding,2,▁capital,0.05852501466870308,0.0
